top - 22:42:26 up  8:05,  1 user,  load average: 0.27, 0.46, 0.60
Tasks: 481 total, 2 running, 479 sleep, 0 d-sleep, 0 stopped, 0 zombie
%Cpu(s):  0.6 us,  2.0 sy,  3.7 ni, 93.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  43913.1 total,  13283.7 free,  11714.1 used,  19639.3 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.  32199.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    144 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    146 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/31-+
    147 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/34-+
    148 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/36-+
    149 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    154 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    155 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    156 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    173 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    178 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/26-+
    179 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/27-+
    180 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/28-+
    181 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/29-+
    182 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/30-+
    308 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nv_queue
    309 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nv_mem_+
    310 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nv_mem_+
    311 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nv_mem_+
    312 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nv_mem_+
    313 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nv_mem_+
    314 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nv_mem_+
    315 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nv_queue
    316 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nv_open+
    320 root      20   0       0      0      0 S   0.0   0.0   0:00.00 UVM glo+
    321 root      20   0       0      0      0 S   0.0   0.0   0:00.00 UVM def+
    322 root      20   0       0      0      0 S   0.0   0.0   0:00.00 UVM Too+
    378 root     -51   0       0      0      0 S   0.0   0.0   0:00.06 irq/49-+
    387 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    388 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    389 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    390 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    392 root       0 -20       0      0      0 I   0.0   0.0   0:00.04 kworker+
    396 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    397 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    402 root      20   0       0      0      0 S   0.0   0.0   0:22.55 nvidia-+
    403 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia-+
    404 root     -51   0       0      0      0 S   0.0   0.0   0:00.10 irq/108+
